"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source","raw_row","easting_m","northing_m","month"
-1.37313,114.26355,303.27,0.34,0.56,2026-01-19,"1718","SNPP","SNPP","n","2",286.54,0.43,"N",0,"archive",2087,195472.041293587,9848053.22031892,"2026-01"
-1.37363,114.26659,302.59,0.34,0.56,2026-01-19,"1718","SNPP","SNPP","n","2",286.3,0.43,"N",0,"archive",2088,195810.671796556,9847998.27924673,"2026-01"
-3.02319,114.49055,333.37,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",288.75,2.5,"D",0,"archive",2164,221057.775592997,9665521.23359534,"2026-01"
-1.85212,114.45947,334.31,0.4,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",295.78,3.58,"D",0,"archive",2168,217356.256874955,9795081.74747881,"2026-01"
-1.77073,114.30521,336.32,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",298.66,5.78,"D",0,"archive",2171,200168.479926021,9804062.5070631,"2026-01"
-1.77126,114.30169,334.16,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",297.49,5.78,"D",0,"archive",2172,199776.627185613,9804003.28982414,"2026-01"
-1.72622,114.4617,349.5,0.4,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",298.59,7.33,"D",0,"archive",2173,217585.236186323,9809011.70488157,"2026-01"
-1.75542,113.97993,335.22,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",296.41,2.46,"D",0,"archive",2176,163942.073750894,9805701.23346765,"2026-01"
-1.66536,114.28858,339.02,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",301.23,26.29,"D",0,"archive",2179,198300.22927037,9815719.57960396,"2026-01"
-1.38541,114.27802,332.83,0.39,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",295.4,3.15,"D",0,"archive",2191,197085.123946034,9846696.20267088,"2026-01"
-1.37361,114.26537,331.21,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",300.51,2.64,"D",0,"archive",2192,195674.797035467,9848000.3368513,"2026-01"
-1.29983,114.39891,335.16,0.4,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",296,3.42,"D",0,"archive",2196,210537.774794287,9856180.35831214,"2026-01"
-1.29592,114.40195,332.62,0.4,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",294.64,2.45,"D",0,"archive",2197,210875.869952069,9856613.32891814,"2026-01"
-1.32737,114.10629,339.58,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",296.43,3.68,"D",0,"archive",2203,177950.639334152,9853096.95814949,"2026-01"
-1.30555,114.09222,333.86,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",297.99,3.12,"D",0,"archive",2207,176380.580272971,9855510.02380753,"2026-01"
-1.25156,114.09763,329.63,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",295.52,2.51,"D",0,"archive",2215,176976.441765275,9861485.9762886,"2026-01"
-1.2521,114.09411,332.55,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",296.52,2.92,"D",0,"archive",2216,176584.406506114,9861425.77800969,"2026-01"
-1.24821,114.09712,334.34,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",296.79,4.6,"D",0,"archive",2217,176919.221578353,9861856.66929681,"2026-01"
-1.17803,114.24181,341.48,0.39,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",297.2,14.22,"D",0,"archive",2223,193027.660484457,9869640.11046566,"2026-01"
